folio_integrante;edad;ponderador;grupo;resultado_general_entrevista;region_Centro;region_Centro Norte;region_Frontera;region_Pacifico-Norte;region_Pacífico Sur;region_Pacífico-Centro;region_Península;sexo_Mujer;estrato_Rural  ( <2500 Hab );estrato_Urbano ( 2500-99,999 Hab)
2022_07087007_02;28;49708.2354909546;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;True
2022_07087008_04;12;136312.655335058;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;True
2022_07087011_01;35;175913.541868763;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;True
2022_07087016_01;73;78660.492745869;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;True
2022_07087019_01;60;87249.5020477489;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;True
2022_07089015_03;13;87355.3432660275;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;False
2022_07089018_02;46;119020.279051431;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;False
2022_07089022_02;13;194398.722198549;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;False
2022_07101025_02;47;213980.890116106;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;False
2022_07101032_02;33;426712.957918125;Adolescentes y Adultos;0;False;False;False;False;False;False;True;True;False;False
2022_07108005_02;25;426712.957918125;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;True
2022_08002005_01;65;238116.528852709;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;True;False
2022_08011008_02;71;46157.1874171182;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;True
2022_08011018_02;52;52823.708977975;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;True
2022_08011033_01;70;43955.7482932145;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;True
2022_08019028_01;34;384450.091829561;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_08019034_03;36;123037.975424478;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08019046_01;49;25707.0693683495;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08019069_01;61;23616.6043867475;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08019080_01;43;33115.8111908532;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08019083_02;35;107541.03634143;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08019090_01;18;45845.9264358118;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08019099_02;35;78756.1919987598;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08021001_03;36;43415.7194875153;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_08021025_03;81;52912.7741822572;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08021046_01;88;65287.0843349332;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08021047_01;54;81833.2916588173;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_08037007_01;69;51422.4534627496;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_08037048_01;49;85242.754320746;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_08037059_02;66;119174.47603121;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08037061_04;13;309142.512604235;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08037077_01;62;157677.923176374;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08037110_01;63;42659.0453975354;Adolescentes y Adultos;0;False;False;True;False;False;False;False;True;False;False
2022_08037132_01;67;51745.6015964647;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_08037136_01;54;31835.1085056234;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08037137_01;55;79806.6492283782;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_08037142_03;51;32556.0352445278;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08037147_02;14;86971.9116439539;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08037170_02;47;38640.4396716806;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_08037176_03;16;53050.0589894464;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_08050007_01;37;76223.193728162;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;True
2022_08064007_01;34;336607.587174702;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;True;False
2022_09003009_01;47;102223.302151764;Adolescentes y Adultos;1;False;False;False;False;False;False;False;True;False;False
2022_09003015_01;64;372922.539430139;Adolescentes y Adultos;1;False;False;False;False;False;False;False;False;False;False
2022_09005027_03;35;451447.784121314;Adolescentes y Adultos;1;False;False;False;False;False;False;False;False;False;False
